Unnamed: 0,name,url,year,certificate,rating,votes,plot,Action,Adventure,Comedy,Crime,Family,Fantasy,Mystery,Sci-Fi,Thriller,name_normalized
5302,Descent: FreeSpace - The Great War,https://www.imdb.com/title/tt0169922/?ref_=adv_li_tt,1998.0,,8.8,132,"As a pilot in the Galactic Terran Alliance you go on daring missions. However, while battling Vasudans, something far worse is discovered, the Shivans. You must lead the GTA fleet to destroy the Shivan flagship before it can reach Earth.",True,False,False,False,False,False,False,True,False,descent: freespace - the great war
5324,Adventure Time: Card Wars,https://www.imdb.com/title/tt14741954/?ref_=adv_li_tt,2014.0,E,8.2,8,"Adventure Time Card Wars is a creature-collecting, card based role-playing game set within the fun-filled world of Adventure Time.",True,True,False,False,False,False,False,False,False,adventure time: card wars
5328,Wing Commander Saga,https://www.imdb.com/title/tt2378852/?ref_=adv_li_tt,2012.0,,8.1,21,"The conflict between Earth and Kilrah is drawing to a close, and in spite of new fighters, carriers, and technology joining the Fleet, the war effort is not going well. Every day, more news... See full summary »",True,False,False,False,False,False,False,False,False,wing commander saga
5350,Vietcong: Fist Alpha,https://www.imdb.com/title/tt0438558/?ref_=adv_li_tt,2004.0,,8.4,50,Add a Plot,True,False,False,False,False,False,False,False,False,vietcong: fist alpha
5384,Devil Kings,https://www.imdb.com/title/tt0823644/?ref_=adv_li_tt,2005.0,T,8.1,42,"Known in Japan as ""Sengoku Basara"", takes place during the Warring States Era, which Japan was split into many minor states battling over power and land.",True,True,False,False,False,True,False,False,False,devil kings
5389,Titan Quest: Immortal Throne,https://www.imdb.com/title/tt0950725/?ref_=adv_li_tt,2007.0,,8.1,218,Expansion pack for RPG Titan Quest (2006).,True,True,False,False,False,True,False,False,False,titan quest: immortal throne
5417,Heroes of Might and Magic II: The Succession War,https://www.imdb.com/title/tt6174288/?ref_=adv_li_tt,1996.0,,8.2,81,Add a Plot,True,True,False,False,False,True,False,False,False,heroes of might and magic ii: the succession war
5430,Turrican II: The Final Fight,https://www.imdb.com/title/tt0457507/?ref_=adv_li_tt,1991.0,,8.5,78,"Action-packed sequel featuring more platforming, sci-fi mayhem.",True,True,False,False,False,False,False,True,False,turrican ii: the final fight
5444,The Legendary Starfy,https://www.imdb.com/title/tt1262027/?ref_=adv_li_tt,2008.0,E,8.8,22,"After saving rabbit from a gigantic octopus, Starfy recovers a crystal shard, and the rabbit, presenting himself as Bunston, is revealed to be amnesiac. So Starfy and friends must cross along the ocean to retrieve the missing shards.",True,True,False,False,False,True,False,False,False,the legendary starfy
5448,Homeworld 2,https://www.imdb.com/title/tt0387289/?ref_=adv_li_tt,2003.0,,8.2,158,Add a Plot,True,True,False,False,False,False,False,True,False,homeworld 2
5453,Project Eden,https://www.imdb.com/title/tt4959444/?ref_=adv_li_tt,2001.0,,8.1,17,Add a Plot,True,True,False,False,False,False,False,True,False,project eden
5472,Steven Universe: Soundtrack Attack,https://www.imdb.com/title/tt14761470/?ref_=adv_li_tt,2016.0,E,8.3,6,"Soundtrack Attack is a rhythm runner set to the music of Steven Universe, Tap, hold, and swipe along to the music to unleash awesome attacks and outrun the Homeworld gems in Soundtrack Attack.",True,True,False,False,False,False,False,False,False,steven universe: soundtrack attack
5475,Heroes of Might and Magic III: Armageddon's Blade,https://www.imdb.com/title/tt1458917/?ref_=adv_li_tt,1999.0,,8.8,591,First expansion pack for Heroes of Might and Magic III: The Restoration of Erathia (1999).,True,True,False,False,False,True,False,False,False,heroes of might and magic iii: armageddon's blade
5490,Maximo vs. Army of Zin,https://www.imdb.com/title/tt0366759/?ref_=adv_li_tt,2003.0,T,8.1,62,"While in search of his missing girlfriend, Maximo is attacked by a monster that appears to be powered by a captured soul of the dead, he vows to uncover the secret of this new creature and his quest takes him through vast and unique lands.",True,True,False,False,False,True,False,False,False,maximo vs. army of zin
